iter	RMSE
0	3928.102087
1	3817.353077
2	3711.075388
3	3607.384531
4	3507.216895
5	3409.733486
6	3316.008453
7	3223.521735
8	3134.51433
9	3050.469464
10	2967.971339
11	2887.332682
12	2808.511211
13	2732.372436
14	2658.186928
15	2587.46501
16	2518.94339
17	2452.379215
18	2387.587282
19	2325.603206
20	2265.212274
21	2207.203952
22	2150.613609
23	2095.035864
24	2042.377056
25	1990.896762
26	1941.148893
27	1892.311196
28	1845.041733
29	1799.531979
30	1755.585027
31	1712.67301
32	1671.645742
33	1632.554185
34	1594.097618
35	1557.107159
36	1521.052831
37	1485.578037
38	1451.828018
39	1418.711958
40	1386.824709
41	1356.506613
42	1327.229077
43	1299.33736
44	1271.929673
45	1245.765965
46	1220.296184
47	1195.173718
48	1171.480871
49	1148.512844
50	1126.408963
51	1105.317985
52	1085.013418
53	1064.99622
54	1046.140268
55	1027.834785
56	1009.663068
57	992.2473438
58	976.1412699
59	960.9305347
60	945.5545477
61	931.0899453
62	917.4387272
63	903.8116859
64	891.1998407
65	878.3985925
66	866.0675403
67	854.1721918
68	843.7250534
69	833.2401616
70	822.6684041
71	813.0492005
72	803.765688
73	794.7736987
74	786.0873904
75	777.8175224
76	770.0469885
77	762.2217879
78	755.0086775
79	748.1934987
80	741.784286
81	735.5419485
82	729.5066013
83	723.5477359
84	718.0448965
85	712.8892882
86	707.6027297
87	702.6300578
88	697.9541435
89	693.2516614
90	688.8228008
91	684.58614
92	680.5398514
93	676.6111013
94	672.8624245
95	669.4745308
96	666.0064114
97	662.9019296
98	659.6325958
99	656.5467426
100	653.7903638
101	651.0724408
102	648.424069
103	645.8728862
104	643.4062546
105	641.0545838
106	638.6761627
107	636.5420485
108	634.4208481
109	632.4336631
110	630.6015655
111	628.7491019
112	626.9898559
113	625.2863015
114	623.6859835
115	622.0593403
116	620.5991539
117	619.1801106
118	617.7592134
119	616.4531748
120	615.1727291
121	613.8873491
122	612.6009059
123	611.4466935
124	610.2937112
125	609.2379255
126	608.3265452
127	607.3719984
128	606.4818456
129	605.5402019
130	604.6865562
131	603.8199398
132	602.9880748
133	602.2210965
134	601.485509
135	600.7526827
136	600.0017524
137	599.3164718
138	598.6393617
139	597.9204869
140	597.2636813
141	596.704145
142	596.1264182
143	595.5782609
144	595.0664227
145	594.5217857
146	593.9763401
