iter	Passed	Remaining
0	179	268540
1	205	153733
2	227	113607
3	253	94819
4	287	85924
5	320	79693
6	360	76841
7	428	80001
8	531	88130
9	608	90708
10	667	90317
11	721	89499
12	774	88607
13	826	87769
14	931	92182
15	1043	96770
16	1129	98515
17	1199	98794
18	1244	96990
19	1276	94451
20	1306	92000
21	1335	89746
22	1362	87517
23	1390	85498
24	1416	83557
25	1443	81823
26	1472	80327
27	1498	78764
28	1524	77309
29	1549	75902
30	1574	74616
31	1601	73486
32	1626	72303
33	1652	71249
34	1678	70249
35	1701	69196
36	1725	68210
37	1750	67358
38	1774	66469
39	1797	65618
40	1822	64838
41	1851	64258
42	1880	63708
43	1905	63050
44	1933	62502
45	1962	62029
46	1990	61526
47	2018	61052
48	2045	60573
49	2073	60126
50	2100	59669
51	2129	59301
52	2157	58895
53	2189	58623
54	2218	58294
55	2248	57967
56	2278	57688
57	2309	57411
58	2336	57066
59	2364	56755
60	2393	56459
61	2419	56111
62	2445	55791
63	2470	55442
64	2498	55148
65	2523	54823
66	2548	54499
67	2573	54201
68	2597	53872
69	2621	53554
70	2647	53281
71	2671	52994
72	2701	52815
73	2728	52573
74	2755	52352
75	2780	52106
76	2806	51868
77	2833	51658
78	2861	51479
79	2884	51207
80	2909	50963
81	2931	50687
82	2953	50419
83	2979	50221
84	3001	49970
85	3024	49721
86	3049	49534
87	3072	49293
88	3095	49078
89	3118	48863
90	3141	48636
91	3162	48405
92	3187	48223
93	3214	48087
94	3239	47906
95	3261	47706
96	3287	47544
97	3308	47334
98	3332	47162
99	3357	46999
100	3380	46829
101	3402	46636
102	3426	46473
103	3448	46290
104	3473	46152
105	3495	45967
106	3519	45821
107	3541	45647
108	3564	45494
109	3588	45351
110	3612	45203
111	3636	45069
112	3660	44927
113	3684	44792
114	3708	44663
115	3733	44548
116	3756	44401
117	3777	44243
118	3800	44103
119	3827	44015
120	3851	43889
121	3875	43779
122	3899	43653
123	3923	43535
124	3946	43407
125	3970	43293
126	3991	43154
127	4014	43028
128	4037	42904
129	4059	42779
130	4083	42673
131	4105	42550
132	4129	42445
133	4151	42321
134	4174	42203
135	4197	42096
136	4220	41991
137	4246	41913
138	4271	41819
139	4295	41725
140	4319	41628
141	4340	41512
142	4363	41402
143	4386	41304
144	4410	41212
145	4433	41114
146	4454	41003
147	4478	40907
148	4500	40803
149	4522	40699
150	4545	40605
151	4568	40511
152	4590	40411
153	4611	40307
154	4632	40200
155	4657	40126
156	4681	40044
157	4702	39940
158	4726	39866
159	4748	39771
160	4772	39689
161	4794	39599
162	4816	39509
163	4839	39424
164	4862	39340
165	4885	39258
166	4907	39170
167	4929	39083
168	4954	39018
169	4976	38935
170	5000	38864
171	5022	38782
172	5048	38728
173	5070	38639
174	5092	38559
175	5114	38476
176	5136	38394
177	5159	38316
178	5182	38244
179	5203	38159
180	5226	38086
181	5248	38008
182	5272	37947
183	5296	37878
184	5319	37810
185	5341	37735
186	5363	37661
187	5385	37580
188	5406	37503
189	5428	37431
190	5452	37367
191	5474	37296
192	5495	37218
193	5518	37151
194	5539	37070
195	5561	36999
196	5583	36930
197	5606	36864
198	5627	36788
199	5648	36717
200	5671	36651
201	5692	36579
202	5714	36513
203	5735	36438
204	5758	36374
205	5780	36310
206	5805	36262
207	5828	36202
208	5870	36260
209	5925	36399
210	5958	36400
211	5988	36381
212	6023	36395
213	6055	36388
214	6088	36391
